variable,spearman_with_min_fs_cracked
beta_deg,-0.322923067052168
crack_depth,-0.09497452023191331
root_c,-0.003818391084242656
phi_b_deg,-0.001775181562715029
s0,0.00045845912317606563
gamma_d,0.0013310059546183094
gamma_sat,0.017808545343526074
z,0.07919439922834205
phi_deg,0.16489623224922828
c,0.43493197175747994
ks,0.7666189542149099
