scenario,time_h,rainfall_mm_h,fs,wetness_index,suction_kpa,pore_pressure_kpa,crack_water_head_m
Bare slope,0.0,5.0,2.109851279832973,0.0,32.0,0.0,0.0
Bare slope,0.25,5.0,2.092667916030422,0.13157894736842105,31.457286440722847,0.0,0.0
Bare slope,0.5,5.0,2.076121620869864,0.26206140350877194,30.928185502915067,0.0,0.0
Bare slope,0.75,5.0,2.0601837763164594,0.3914565058479532,30.412282518856724,0.0,0.0
Bare slope,1.0,5.0,2.044827255349102,0.5197733156676413,29.909177460021738,0.0,0.0
Bare slope,1.25,5.0,2.030026334079676,0.647020818738832,29.418484355663615,0.0,0.0
Bare slope,1.5,5.0,2.0157566096418407,0.7732079259510961,28.93983073688127,0.0,0.0
Bare slope,1.75,5.0,2.0019949234318566,0.8983434739365914,28.472857104949426,0.0,0.0
Bare slope,2.0,5.0,1.9887192893169858,1.0224362256888742,28.017216422760697,0.0,0.0
Bare slope,2.25,5.0,1.9759088264572287,1.1454948711765547,27.572573628285344,0.0,0.0
Bare slope,2.5,5.0,1.9635436964137583,1.2675280279518377,27.138605169010585,0.0,0.0
Bare slope,2.75,5.0,1.9516050442427086,1.3885442417539935,26.71499855637414,0.0,0.0
Bare slope,3.0,5.0,1.9400749432961257,1.508551987107798,26.301451939256438,0.0,0.0
Bare slope,3.25,5.0,1.9289363434731024,1.6275596679169873,25.89767369564325,0.0,0.0
Bare slope,3.5,5.0,1.9181730226835945,1.7455756180527668,25.50338204161511,0.0,0.0
Bare slope,3.75,5.0,1.9077695413052724,1.8626081019374148,25.118304656862097,0.0,0.0
Bare slope,4.0,5.0,1.897711199430169,1.978665315123024,24.742178325962552,0.0,0.0
Bare slope,4.25,5.0,1.887983996712951,2.09375538486542,24.374748594702222,0.0,0.0
Bare slope,4.5,5.0,1.8785745946465142,2.207886370693296,24.01576944074602,0.0,0.0
Bare slope,4.75,5.0,1.8694702811033421,2.321066264972606,23.665002958008667,0.0,0.0
Bare slope,5.0,5.0,1.8606589369928213,2.4333029934662553,23.32221905410251,0.0,0.0
Bare slope,5.25,5.0,1.852129004895506,2.544604415889124,22.987195160271348,0.0,0.0
Bare slope,5.5,5.0,1.8438694595453036,2.654978326458469,22.659715953247915,0.0,0.0
Bare slope,5.75,5.0,1.8358697800397434,2.7644324544397363,22.339573088499982,0.0,0.0
Bare slope,6.0,24.0,1.7946496385024246,3.372974464687826,20.640377339325397,0.0,0.0
Bare slope,6.25,24.0,1.758703672232177,3.976445291517182,19.083002452885392,0.0,0.0
Bare slope,6.5,24.0,1.7272819892514326,4.574887194789627,17.65467405810645,0.0,0.0
Bare slope,6.75,24.0,1.6997508422769758,5.168342082201468,16.343845951959207,0.0,0.0
Bare slope,7.0,24.0,1.675573222794151,5.75685151221821,15.140075067365235,0.0,0.0
Bare slope,7.25,24.0,1.6542929369383756,6.340456696984813,14.033909836914383,0.0,0.0
Bare slope,7.5,24.0,1.6355214938278588,6.9191985052116936,13.01679044930704,0.0,0.0
Bare slope,7.75,24.0,1.6189272746825558,7.493117465036684,12.080959671364093,0.0,0.0
Bare slope,8.0,24.0,1.6042265584910416,8.062253766863133,11.219383062967422,0.0,0.0
Bare slope,8.25,24.0,1.5911760642429964,8.626647266174361,10.425677548106489,0.0,0.0
Bare slope,8.5,24.0,1.577508309685886,9.186337486324662,9.69404742466014,0.055901245897398685,0.0
Bare slope,8.75,24.0,1.5610568091817854,9.741363621307045,9.019227000680894,0.2224090863921134,0.0
Bare slope,9.0,24.0,1.5458006224304996,10.291764538497906,8.396429137550893,0.3875293615493719,0.0
Bare slope,9.25,24.0,1.5316009484279742,10.837578781378845,7.821299061995109,0.5512736344136534,0.0
Bare slope,9.5,24.0,1.5183373573891628,11.378844572235776,7.2898728809205595,0.7136533716707328,0.0
Bare slope,9.75,24.0,1.5059051517511903,11.915599814835566,6.7985402965795325,0.8746799444506699,0.0
Bare slope,10.0,24.0,1.4942131334340087,12.447882097080358,6.344011075661343,1.0343646291241073,0.0
Bare slope,10.25,24.0,1.4831817107547087,12.975728693639775,5.923284875500358,1.1927186080919325,0.0
Bare slope,10.5,24.0,1.4727412899796273,13.499176568561198,5.533624074435872,1.3497529705683595,0.0
Bare slope,10.75,24.0,1.4628309059510587,14.018262377858276,5.172529292160391,1.5054787133574827,0.0
Bare slope,11.0,24.0,1.45339705395898,14.533022472077878,4.837717320250345,1.6599067416233633,0.0
Bare slope,11.25,24.0,1.4443926913731433,15.043492898845649,4.527101213515695,1.8130478696536947,0.0
Bare slope,11.5,24.0,1.4357763827706223,15.549709405390356,4.238772319795692,1.9649128216171068,0.0
Bare slope,11.75,24.0,1.4275115665990754,16.051707441047192,3.970984049773822,2.1155122323141575,0.0
Bare slope,12.0,24.0,1.4195659249756936,16.54952215974022,3.7221372096426384,2.264856647922066,0.0
Bare slope,12.25,24.0,1.411910841172143,17.04318842244414,3.490766738332368,2.412956526733242,0.0
Bare slope,12.5,24.0,1.4045209317867888,17.532740799625525,3.27552970780151,2.5598222398876573,0.0
Bare slope,12.75,24.0,1.3973736426460885,18.018213573663733,3.075194459815712,2.7054640720991197,0.0
Bare slope,13.0,24.0,1.3904488991796873,18.49964074125162,2.888630765926317,2.849892222375486,0.0
Bare slope,13.25,24.0,1.383728803437309,18.977056015776277,2.714800909190321,2.993116804732883,0.0
Bare slope,13.5,24.0,1.3771973711081835,19.450492829679895,2.5527515967145575,3.1351478489039684,0.0
Bare slope,13.75,24.0,1.3708403029048792,19.919984336800983,2.4016066215050094,3.275995301040295,0.0
Bare slope,14.0,24.0,1.3646447855153525,20.385563414696062,2.260560200486146,3.4156690244088184,0.0
Bare slope,14.25,24.0,1.3585993180364073,20.847262666942015,2.128870923038824,3.5541788000826045,0.0
Bare slope,14.5,24.0,1.3526935604005181,21.30511442541925,2.005856251089425,3.6915343276257753,0.0
Bare slope,14.75,24.0,1.3469182008142295,21.759150752575845,1.8908875177561606,3.8277452257727536,0.0
Bare slope,15.0,24.0,1.3412648396551292,22.2094034436728,1.783385376899768,3.9628210331018403,0.0
Bare slope,15.25,24.0,1.33572588763814,22.655904029010618,1.6828156607046123,4.096771208703185,0.0
Bare slope,15.5,24.0,1.330294476370997,23.098683776137282,1.5886856066942774,4.229605132841185,0.0
Bare slope,15.75,24.0,1.324964379681808,23.53777369203789,1.5005404194176268,4.361332107611367,0.0
Bare slope,16.0,24.0,1.3197299443258586,23.973204525305995,1.4179601354755864,4.491961357591799,0.0
Bare slope,16.25,24.0,1.3145860288702127,24.405006768296865,1.3405567636384357,4.621502030489059,0.0
Bare slope,16.5,24.0,1.3095279497183394,24.83321065926281,1.2679716745664888,4.749963197778843,0.0
Bare slope,16.75,24.0,1.3045514333771007,25.257846184470708,1.1998732171274247,4.877353855341212,0.0
Bare slope,17.0,24.0,1.2996525741885707,25.678943080301874,1.1359545405314937,5.003682924090562,0.0
Bare slope,17.25,24.0,1.2948277968523187,26.096530835334445,1.075931603508043,5.128959250600333,0.0
Bare slope,17.5,24.0,1.2900738231524709,26.510638692408413,1.0195413535471485,5.253191607722524,0.0
Bare slope,17.75,24.0,1.2853876423802244,26.921295650673432,0.9665400608498692,5.37638869520203,0.0
Bare slope,18.0,14.0,1.283749837064294,27.065372572882733,0.9486052494375613,5.41961177186482,0.0
Bare slope,18.25,14.0,1.2821288041808478,27.208248854073624,0.9311485561364433,5.462474656222087,0.0
Bare slope,18.5,14.0,1.2805242841143383,27.349934499587924,0.9141545936709814,5.504980349876377,0.0
Bare slope,18.75,14.0,1.278936024681891,27.490439431389603,0.8976085460299491,5.547131829416881,0.0
Bare slope,19.0,14.0,1.2773637808097436,27.629773488759604,0.8814961446846057,5.588932046627881,0.0
Bare slope,19.25,14.0,1.275807314226838,27.767946428984853,0.8658036458966302,5.630383928695456,0.0
Bare slope,19.5,14.0,1.2742663931745475,27.904967928041557,0.8505178090615673,5.671490378412467,0.0
Bare slope,19.75,14.0,1.2727407921315812,28.04084758127279,0.8356258760364456,5.712254274381837,0.0
Bare slope,20.0,14.0,1.2712302915531768,28.17559490406043,0.8211155514029579,5.752678471218128,0.0
Bare slope,20.25,14.0,1.2697346776237455,28.309219332491505,0.8069749836201837,5.7927657997474515,0.0
Bare slope,20.5,14.0,1.2682537420221849,28.44173022401899,0.79319274702327,5.832519067205697,0.0
Bare slope,20.75,14.0,1.2667872816991308,28.573136858117078,0.7797578246267842,5.871941057435123,0.0
Bare slope,21.0,14.0,1.2653350986654628,28.703448436931016,0.7666595916936151,5.911034531079305,0.0
Bare slope,21.25,14.0,1.2638969997914131,28.832674085921504,0.7538878000323609,5.949802225776451,0.0
Bare slope,21.5,14.0,1.2624727966156921,28.960822854503736,0.7414325629880614,5.988246856351121,0.0
Bare slope,21.75,14.0,1.2610623051640462,29.087903716681115,0.7292843410929594,6.026371115004334,0.0
Bare slope,22.0,14.0,1.2596653457767368,29.213925571673684,0.7174339283457113,6.064177671502105,0.0
Bare slope,22.25,14.0,1.2582817429444288,29.338897244541315,0.7058724390890809,6.101669173362394,0.0
Bare slope,22.5,14.0,1.2569113251520312,29.462827486801714,0.6945912954576954,6.1388482460405145,0.0
Bare slope,22.75,14.0,1.2555539247300458,29.585724977043277,0.6835822153689022,6.175717493112983,0.0
Bare slope,23.0,14.0,1.254209377713015,29.707598321532828,0.6728372010311291,6.212279496459848,0.0
Bare slope,23.25,14.0,1.2528775237046834,29.8284560548183,0.6623485279454611,6.2485368164454895,0.0
Bare slope,23.5,14.0,1.251558205749504,29.948306640326393,0.6521087343773683,6.284491992097918,0.0
Bare slope,23.75,14.0,1.250251270210151,30.067158470955253,0.6421106112766843,6.320147541286576,0.0
Bare slope,24.0,14.0,1.2489565666507212,30.185019869662206,0.6323471926250398,6.355505960898662,0.0
Bare slope,24.25,14.0,1.247673947725308,30.3018990900466,0.6228117461909881,6.39056972701398,0.0
Bare slope,24.5,14.0,1.2464032690716824,30.41780431692779,0.6134977646740519,6.425341295078336,0.0
Bare slope,24.75,14.0,1.2451443892097918,30.532743666918304,0.6043989572198484,6.459823100075491,0.0
Bare slope,25.0,14.0,1.2438971694448426,30.64672518899223,0.5955092412893371,6.49401755669767,0.0
Bare slope,25.25,14.0,1.2426614737747128,30.759756865048875,0.586822734866068,6.527927059514663,0.0
Bare slope,25.5,14.0,1.2414371688014845,30.871846610471714,0.578333748986097,6.561553983141514,0.0
Bare slope,25.75,14.0,1.2402241236468687,30.983002274682693,0.570036780576,6.594900682404808,0.0
Bare slope,26.0,14.0,1.2390222098713415,31.093231641691915,0.5619265055851026,6.6279694925075745,0.0
Bare slope,26.25,14.0,1.2378313013967834,31.20254243064273,0.553997772398746,6.660762729192819,0.0
Bare slope,26.5,14.0,1.236651274432462,31.310942296352287,0.54624559552003,6.693282688905686,0.0
Bare slope,26.75,14.0,1.2354820074041768,31.4184388298476,0.5386651495080738,6.72553164895428,0.0
Bare slope,27.0,14.0,1.234323380886417,31.525039558897113,0.5312517631614384,6.757511867669134,0.0
Bare slope,27.25,14.0,1.2331752775373748,31.63075194853788,0.5240009139358671,6.789225584561364,0.0
Bare slope,27.5,14.0,1.2320375820366825,31.735583401598312,0.5169082225860329,6.820675020479493,0.0
Bare slope,27.75,14.0,1.2309101810257252,31.83954125921657,0.5099694480214797,6.851862377764971,0.0
Bare slope,28.0,14.0,1.2297929630504247,31.942632801354677,0.5031804823673901,6.882789840406403,0.0
Bare slope,28.25,14.0,1.2286858185063472,32.0448652473083,0.49653734622126755,6.9134595741924905,0.0
Bare slope,28.5,14.0,1.2275886395860478,32.14624575621231,0.4900361840970428,6.943873726863693,0.0
Bare slope,28.75,14.0,1.2265013202285293,32.24678142754212,0.48367326004850186,6.974034428262635,0.0
