scenario,min_fs,time_of_min_fs_h,hmmi_fs_hour,max_wetness_index,min_suction_kpa,max_pore_pressure_kpa
Bare slope,1.222248575667747,29.75,0.0,32.64061566627198,0.45953317864665694,7.092184699881593
Cracked slope,0.9530757362549465,29.75,3.957396085755771,50.592954282721585,0.044540866899312435,13.565386284816476
Vegetated slope,1.6299939559518002,29.75,0.0,21.693862053756483,3.482168253810783,3.8081586161269447
Cracked vegetated slope,1.3860586122258038,29.75,0.0,33.62548618332254,1.7408638304173967,8.475145854996763
Road surcharge and clogged drain,0.7890675240957369,29.75,11.881688803666613,72.97095290932039,0.00242848426523254,20.278785872796114
Road surcharge with maintained drainage,1.3748907957993817,22.0,0.0,27.28413719168846,2.1790301288212426,6.572741157506536
