scenario,peak_pf,time_of_peak_pf_h,cumulative_pf,median_min_fs,p05_min_fs,p95_min_fs,reliability_index_at_peak
Bare slope,0.1573,29.75,0.1573,1.1894274818279746,0.8832366258857486,1.534110234198074,1.00561667384503
Cracked slope,0.6688666666666667,29.75,0.6688666666666667,0.9057212942764267,0.5234964618092289,1.2626270900929937,-0.43678584335379333
Vegetated slope,0.0005666666666666667,28.5,0.0005666666666666667,1.6045823324020123,1.272112421826959,2.0402682342439635,3.255147889116923
Cracked vegetated slope,0.043133333333333336,29.75,0.043133333333333336,1.3468610126774399,1.010516228026145,1.7553088949669544,1.7154286485829655
Road surcharge and clogged drain,0.8833333333333333,29.75,0.8833333333333333,0.739773234748208,0.3121842494039139,1.0988000205269512,-1.1918161716813944
Road surcharge with maintained drainage,0.016866666666666665,24.0,0.016933333333333335,1.3498429309135163,1.0712474474008513,1.6980698076990692,2.123244923015466
